id,start_date,end_date,term_name,semester_year,school_year_name
1,"Monday, August 14, 2000","Friday, December 1, 2000",Fall,2000,2000-2001
2,"Monday, January 15, 2001","Friday, May 4, 2001",Spring,2001,2000-2001
3,"Monday, June 18, 2001","Friday, August 10, 2001",Summer,2001,2000-2001
4,"Monday, August 20, 2001","Friday, December 7, 2001",Fall,2001,2001-2002
5,"Monday, January 21, 2002","Friday, May 10, 2002",Spring,2002,2001-2002
6,"Monday, June 24, 2002","Friday, August 16, 2002",Summer,2002,2001-2002
7,"Monday, August 19, 2002","Friday, December 6, 2002",Fall,2002,2002-2003
8,"Monday, January 20, 2003","Friday, May 9, 2003",Spring,2003,2002-2003
9,"Monday, June 23, 2003","Friday, August 15, 2003",Summer,2003,2002-2003
10,"Monday, August 18, 2003","Friday, December 5, 2003",Fall,2003,2003-2004
11,"Monday, January 19, 2004","Friday, May 7, 2004",Spring,2004,2003-2004
12,"Monday, June 21, 2004","Friday, August 13, 2004",Summer,2004,2003-2004
13,"Monday, August 16, 2004","Friday, December 3, 2004",Fall,2004,2004-2005
14,"Monday, January 17, 2005","Friday, May 6, 2005",Spring,2005,2004-2005
15,"Monday, June 20, 2005","Friday, August 12, 2005",Summer,2005,2004-2005
16,"Monday, August 15, 2005","Friday, December 2, 2005",Fall,2005,2005-2006
17,"Monday, January 16, 2006","Friday, May 5, 2006",Spring,2006,2005-2006
18,"Monday, June 19, 2006","Friday, August 11, 2006",Summer,2006,2005-2006
19,"Monday, August 21, 2006","Friday, December 8, 2006",Fall,2006,2006-2007
20,"Monday, January 22, 2007","Friday, May 11, 2007",Spring,2007,2006-2007
21,"Monday, June 25, 2007","Friday, August 17, 2007",Summer,2007,2006-2007
22,"Monday, August 20, 2007","Friday, December 7, 2007",Fall,2007,2007-2008
23,"Monday, January 21, 2008","Friday, May 9, 2008",Spring,2008,2007-2008
24,"Monday, June 23, 2008","Friday, August 15, 2008",Summer,2008,2007-2008
25,"Monday, August 18, 2008","Friday, December 5, 2008",Fall,2008,2008-2009
26,"Monday, January 19, 2009","Friday, May 8, 2009",Spring,2009,2008-2009
